ImageNumber,ExpectedValue,InOptions,OptionPosition
4946,7,NON,-1
4947,8,OUI,2
4948,5,OUI,3
4949,9,NON,-1
4950,1,OUI,4
4951,0,OUI,4
4952,4,NON,-1
4953,1,OUI,20
4954,4,NON,-1
4955,2,OUI,1
4956,3,OUI,1
4957,3,OUI,1
4958,1,NON,-1
4959,4,NON,-1
4960,1,NON,-1
4961,5,NON,-1
4962,0,OUI,25
4963,6,NON,-1
4964,7,NON,-1
4965,7,NON,-1
4966,3,OUI,0
4967,8,NON,-1
4968,9,NON,-1
4969,5,NON,-1
4970,1,NON,-1
4971,1,OUI,6
4972,1,OUI,2
4973,9,OUI,0
4974,5,NON,-1
4975,9,NON,-1
4976,1,NON,-1
4977,7,OUI,0
4978,1,OUI,8
4979,1,OUI,16
4980,6,NON,-1
4981,0,NON,-1
4982,8,OUI,0
4983,9,NON,-1
4984,7,OUI,9
4985,0,OUI,4
4986,2,OUI,1
4987,5,NON,-1
4988,3,OUI,18
4989,9,NON,-1
4990,6,OUI,2
4991,7,NON,-1
4992,8,NON,-1
4993,1,OUI,8
4994,0,NON,-1
4995,7,NON,-1
4996,3,NON,-1
4997,2,OUI,0
4998,1,NON,-1
4999,2,OUI,0
5000,7,NON,-1
5001,3,OUI,0
5002,4,NON,-1
5003,6,NON,-1
5004,1,OUI,8
5005,8,OUI,2
5006,1,OUI,8
5007,0,OUI,15
5008,9,NON,-1
5009,8,NON,-1
5010,0,OUI,1
5011,3,OUI,0
5012,1,OUI,9
5013,2,OUI,2
5014,7,OUI,1
5015,0,OUI,12
5016,2,OUI,1
5017,9,NON,-1
5018,6,NON,-1
5019,0,NON,-1
5020,1,NON,-1
5021,6,NON,-1
5022,7,OUI,6
5023,1,OUI,19
5024,9,NON,-1
5025,7,NON,-1
5026,6,NON,-1
5027,5,NON,-1
5028,5,OUI,0
5029,8,NON,-1
5030,8,NON,-1
5031,3,NON,-1
5032,4,OUI,13
5033,4,OUI,0
5034,8,NON,-1
5035,7,OUI,4
5036,3,OUI,0
5037,6,OUI,0
5038,4,NON,-1
5039,6,NON,-1
5040,6,OUI,0
5041,3,OUI,0
5042,8,NON,-1
5043,8,OUI,2
5044,9,NON,-1
5045,9,OUI,0
5046,4,NON,-1
5047,4,OUI,0
5048,0,OUI,1
5049,7,OUI,0
5050,8,NON,-1
5051,1,OUI,15
5052,0,NON,-1
5053,0,OUI,19
5054,1,NON,-1
5055,8,OUI,0
5056,5,OUI,4
5057,7,OUI,0
5058,1,OUI,1
5059,7,NON,-1
5060,5,OUI,18
5061,5,NON,-1
5062,9,NON,-1
5063,9,OUI,4
5064,4,OUI,13
5065,2,OUI,5
5066,5,OUI,2
5067,3,NON,-1
5068,7,NON,-1
5069,4,OUI,8
5070,6,NON,-1
5071,6,NON,-1
5072,0,NON,-1
5073,1,NON,-1
5074,0,OUI,4
5075,1,NON,-1
5076,2,NON,-1
5077,4,OUI,1
5078,8,NON,-1
5079,5,NON,-1
5080,3,OUI,26
5081,5,NON,-1
5082,0,NON,-1
5083,0,NON,-1
5084,6,NON,-1
5085,4,OUI,18
5086,3,NON,-1
5087,8,NON,-1
5088,3,OUI,26
5089,7,NON,-1
5090,1,NON,-1
5091,4,OUI,14
5092,3,NON,-1
5093,9,OUI,4
5094,2,OUI,15
5095,2,NON,-1
5096,0,NON,-1
5097,3,OUI,0
5098,6,NON,-1
5099,6,OUI,2
5100,7,OUI,0
5101,4,OUI,4
5102,3,NON,-1
5103,2,OUI,0
5104,2,NON,-1
5105,4,OUI,1
5106,9,NON,-1
5107,1,NON,-1
5108,0,NON,-1
5109,5,NON,-1
5110,2,NON,-1
5111,4,OUI,0
5112,8,NON,-1
5113,2,OUI,0
5114,1,OUI,2
5115,0,NON,-1
5116,8,NON,-1
5117,4,NON,-1
5118,4,NON,-1
5119,8,NON,-1
5120,0,OUI,1
5121,6,NON,-1
5122,4,OUI,14
5123,1,OUI,4
5124,4,OUI,2
5125,9,OUI,2
5126,6,OUI,0
5127,3,NON,-1
5128,1,NON,-1
5129,2,OUI,1
5130,9,NON,-1
5131,0,OUI,17
5132,1,NON,-1
5133,0,NON,-1
5134,4,OUI,17
5135,2,NON,-1
5136,9,OUI,4
5137,9,NON,-1
5138,4,OUI,16
5139,3,OUI,0
5140,8,OUI,0
5141,6,NON,-1
5142,9,OUI,2
5143,3,OUI,0
5144,0,OUI,2
5145,6,NON,-1
5146,7,NON,-1
5147,0,OUI,3
5148,3,OUI,22
5149,1,NON,-1
5150,4,OUI,3
5151,2,NON,-1
5152,3,OUI,0
5153,3,NON,-1
5154,0,NON,-1
5155,4,NON,-1
5156,2,OUI,11
5157,5,NON,-1
5158,5,NON,-1
5159,6,OUI,1
5160,3,NON,-1
5161,7,OUI,0
5162,2,OUI,15
5163,8,NON,-1
5164,5,OUI,3
5165,9,NON,-1
5166,2,NON,-1
5167,0,NON,-1
5168,1,NON,-1
5169,1,NON,-1
5170,8,NON,-1
5171,2,OUI,7
5172,9,NON,-1
5173,3,OUI,0
5174,1,NON,-1
5175,4,OUI,2
5176,1,OUI,3
5177,5,NON,-1
5178,7,NON,-1
5179,6,NON,-1
5180,4,OUI,2
5181,7,NON,-1
5182,7,OUI,0
5183,8,NON,-1
5184,3,OUI,0
5185,9,NON,-1
5186,3,OUI,3
5187,0,OUI,3
5188,5,NON,-1
5189,1,NON,-1
5190,3,NON,-1
5191,2,NON,-1
5192,0,OUI,6
5193,3,OUI,0
5194,0,NON,-1
5195,4,OUI,3
5196,0,OUI,3
5197,7,OUI,2
5198,4,NON,-1
5199,8,NON,-1
5200,8,NON,-1
5201,9,OUI,2
5202,0,NON,-1
5203,0,OUI,3
5204,1,OUI,7
5205,8,NON,-1
5206,7,NON,-1
5207,3,NON,-1
5208,9,NON,-1
5209,9,OUI,2
5210,5,NON,-1
5211,5,NON,-1
5212,9,NON,-1
5213,6,NON,-1
5214,7,NON,-1
5215,8,NON,-1
5216,2,NON,-1
5217,4,OUI,0
5218,6,NON,-1
5219,9,NON,-1
5220,8,NON,-1
5221,1,NON,-1
5222,6,NON,-1
5223,7,NON,-1
5224,9,NON,-1
5225,1,NON,-1
5226,6,NON,-1
5227,2,NON,-1
5228,0,NON,-1
5229,9,NON,-1
5230,6,NON,-1
5231,6,NON,-1
5232,2,OUI,18
5233,9,NON,-1
5234,1,OUI,11
5235,1,OUI,1
5236,2,NON,-1
5237,1,NON,-1
5238,3,OUI,39
5239,1,NON,-1
5240,5,OUI,1
5241,2,NON,-1
5242,7,OUI,0
5243,8,NON,-1
5244,0,OUI,2
5245,1,OUI,1
5246,0,NON,-1
5247,2,NON,-1
5248,8,NON,-1
5249,0,OUI,1
5250,2,OUI,29
5251,7,NON,-1
5252,3,NON,-1
5253,7,OUI,0
5254,5,OUI,19
5255,5,NON,-1
5256,1,NON,-1
5257,8,NON,-1
5258,2,OUI,14
5259,2,NON,-1
5260,6,OUI,1
5261,9,OUI,0
5262,1,OUI,2
5263,8,NON,-1
5264,7,NON,-1
5265,4,OUI,1
5266,0,NON,-1
5267,6,NON,-1
5268,0,NON,-1
5269,7,OUI,0
5270,3,OUI,23
5271,1,NON,-1
5272,0,OUI,22
5273,6,NON,-1
5274,6,NON,-1
5275,0,OUI,1
5276,9,NON,-1
5277,3,OUI,39
5278,4,NON,-1
5279,6,NON,-1
5280,7,OUI,1
5281,8,NON,-1
5282,9,NON,-1
5283,7,OUI,1
5284,3,OUI,25
5285,0,OUI,11
5286,0,OUI,13
5287,4,OUI,1
5288,0,OUI,2
5289,2,NON,-1
5290,6,NON,-1
5291,7,OUI,1
5292,5,NON,-1
5293,4,OUI,30
5294,6,NON,-1
5295,4,OUI,3
5296,8,OUI,1
5297,2,NON,-1
5298,0,NON,-1
5299,8,NON,-1
5300,7,OUI,0
5301,1,NON,-1
5302,7,OUI,2
5303,5,NON,-1
5304,1,OUI,12
5305,1,NON,-1
5306,2,NON,-1
5307,2,OUI,1
5308,7,NON,-1
5309,5,OUI,6
5310,6,NON,-1
5311,6,NON,-1
5312,7,NON,-1
5313,4,NON,-1
5314,2,OUI,0
5315,3,OUI,9
5316,9,NON,-1
5317,0,OUI,15
5318,2,NON,-1
5319,0,OUI,1
5320,9,NON,-1
5321,0,NON,-1
5322,4,OUI,2
5323,3,OUI,0
5324,4,OUI,1
5325,7,NON,-1
5326,7,OUI,0
5327,0,OUI,1
5328,3,NON,-1
5329,6,NON,-1
5330,0,NON,-1
5331,4,OUI,6
5332,3,NON,-1
5333,8,OUI,0
5334,6,NON,-1
5335,8,NON,-1
5336,1,OUI,3
5337,3,OUI,0
5338,8,NON,-1
5339,9,OUI,2
5340,0,OUI,15
5341,9,NON,-1
5342,0,OUI,1
5343,8,NON,-1
5344,0,NON,-1
5345,2,NON,-1
5346,8,NON,-1
5347,7,NON,-1
5348,8,NON,-1
5349,7,NON,-1
5350,9,NON,-1
5351,1,NON,-1
5352,7,OUI,0
5353,0,NON,-1
5354,3,OUI,32
5355,1,OUI,3
5356,4,NON,-1
5357,2,NON,-1
5358,3,NON,-1
5359,3,OUI,19
5360,8,NON,-1
5361,4,OUI,0
5362,9,NON,-1
5363,5,OUI,2
5364,6,NON,-1
5365,6,NON,-1
5366,4,NON,-1
5367,7,NON,-1
5368,0,NON,-1
5369,8,NON,-1
5370,3,OUI,13
5371,9,NON,-1
5372,8,NON,-1
5373,0,OUI,14
5374,6,OUI,5
5375,1,OUI,2
5376,8,NON,-1
5377,2,NON,-1
5378,5,NON,-1
5379,3,OUI,0
5380,2,NON,-1
5381,4,OUI,0
5382,5,OUI,1
5383,5,NON,-1
5384,6,NON,-1
5385,6,NON,-1
5386,9,NON,-1
5387,7,OUI,0
5388,3,OUI,0
5389,8,NON,-1
5390,9,OUI,0
5391,9,OUI,3
5392,3,NON,-1
5393,0,NON,-1
5394,8,NON,-1
5395,1,NON,-1
5396,3,NON,-1
5397,2,NON,-1
5398,0,OUI,3
5399,3,OUI,13
5400,2,OUI,11
5401,4,OUI,2
5402,9,NON,-1
5403,5,NON,-1
5404,9,NON,-1
5405,6,NON,-1
5406,4,OUI,1
5407,7,NON,-1
5408,3,NON,-1
5409,8,NON,-1
5410,4,OUI,0
5411,9,NON,-1
5412,3,NON,-1
5413,6,NON,-1
5414,5,OUI,0
5415,2,NON,-1
5416,7,NON,-1
5417,5,OUI,2
5418,8,OUI,0
5419,6,NON,-1
5420,2,NON,-1
5421,2,OUI,0
5422,7,NON,-1
5423,5,OUI,0
5424,5,NON,-1
5425,1,NON,-1
5426,9,OUI,0
5427,7,NON,-1
5428,1,OUI,2
5429,1,NON,-1
5430,8,NON,-1
5431,8,OUI,6
5432,3,NON,-1
5433,3,NON,-1
5434,3,OUI,0
5435,8,NON,-1
5436,2,OUI,15
5437,7,OUI,0
5438,2,OUI,22
5439,1,NON,-1
5440,5,NON,-1
5441,7,NON,-1
5442,3,NON,-1
5443,1,NON,-1
5444,4,OUI,21
5445,4,OUI,1
5446,7,NON,-1
5447,7,NON,-1
5448,7,OUI,1
5449,2,OUI,2
5450,4,NON,-1
5451,6,NON,-1
5452,5,OUI,2
5453,5,NON,-1
5454,9,OUI,1
5455,3,OUI,0
5456,5,NON,-1
5457,9,NON,-1
5458,3,OUI,25
5459,9,OUI,3
5460,8,NON,-1
5461,0,OUI,4
5462,0,NON,-1
5463,8,OUI,3
5464,0,OUI,0
5465,7,NON,-1
5466,6,OUI,0
5467,3,OUI,0
5468,0,OUI,3
5469,0,OUI,0
5470,0,NON,-1
5471,3,NON,-1
5472,7,OUI,0
5473,7,NON,-1
5474,8,NON,-1
5475,0,OUI,4
5476,8,NON,-1
5477,1,NON,-1
5478,9,NON,-1
5479,1,NON,-1
5480,2,OUI,3
5481,2,NON,-1
5482,4,OUI,1
5483,1,NON,-1
5484,1,NON,-1
5485,6,NON,-1
5486,6,NON,-1
5487,0,OUI,12
5488,0,NON,-1
5489,5,NON,-1
5490,4,OUI,0
5491,3,NON,-1
5492,9,NON,-1
5493,3,NON,-1
5494,1,NON,-1
5495,6,NON,-1
5496,7,OUI,0
5497,3,OUI,0
5498,0,OUI,2
5499,5,NON,-1
5500,1,OUI,5
5501,9,OUI,2
5502,0,NON,-1
5503,9,NON,-1
5504,7,OUI,0
5505,0,NON,-1
5506,5,NON,-1
5507,1,OUI,0
5508,2,OUI,0
5509,2,OUI,28
5510,3,NON,-1
5511,3,OUI,0
5512,0,OUI,4
5513,4,OUI,35
5514,0,OUI,3
5515,5,NON,-1
5516,1,OUI,20
5517,6,NON,-1
5518,9,NON,-1
5519,7,OUI,0
5520,1,OUI,5
5521,8,NON,-1
5522,9,NON,-1
5523,9,NON,-1
5524,6,NON,-1
5525,0,OUI,2
5526,5,NON,-1
5527,1,NON,-1
5528,2,OUI,0
5529,2,OUI,21
5530,1,OUI,4
5531,3,NON,-1
5532,9,NON,-1
5533,4,OUI,5
5534,8,NON,-1
5535,7,OUI,0
5536,8,OUI,2
5537,8,OUI,4
5538,9,NON,-1
5539,9,NON,-1
5540,7,OUI,0
5541,0,OUI,8
5542,3,NON,-1
5543,1,OUI,5
5544,9,NON,-1
5545,2,OUI,1
5546,7,OUI,0
5547,3,OUI,0
5548,8,NON,-1
5549,4,OUI,2
5550,5,OUI,9
5551,5,NON,-1
5552,1,OUI,6
5553,6,NON,-1
5554,6,NON,-1
5555,7,NON,-1
5556,6,NON,-1
5557,8,OUI,3
5558,9,OUI,0
5559,9,NON,-1
5560,0,NON,-1
5561,6,NON,-1
5562,3,NON,-1
5563,0,NON,-1
5564,7,NON,-1
5565,7,OUI,16
5566,6,NON,-1
5567,3,OUI,42
5568,7,NON,-1
5569,7,NON,-1
5570,1,NON,-1
5571,1,OUI,19
5572,9,NON,-1
5573,3,OUI,0
5574,8,NON,-1
5575,7,OUI,0
5576,6,OUI,1
5577,9,OUI,4
5578,3,OUI,21
5579,7,NON,-1
5580,4,OUI,21
5581,4,NON,-1
5582,1,OUI,4
5583,0,NON,-1
5584,7,NON,-1
5585,0,NON,-1
5586,6,OUI,0
5587,6,NON,-1
5588,3,NON,-1
5589,9,NON,-1
5590,4,OUI,2
5591,5,NON,-1
5592,9,NON,-1
5593,6,NON,-1
5594,8,NON,-1
5595,9,OUI,5
5596,7,OUI,0
5597,8,NON,-1
5598,5,NON,-1
5599,5,NON,-1
5600,6,NON,-1
5601,1,OUI,4
5602,2,NON,-1
5603,5,OUI,2
5604,0,OUI,4
5605,3,OUI,0
5606,5,NON,-1
5607,9,OUI,2
5608,0,NON,-1
5609,8,NON,-1
5610,1,NON,-1
5611,3,NON,-1
5612,0,OUI,2
5613,4,OUI,2
5614,9,NON,-1
5615,0,NON,-1
5616,3,OUI,6
5617,5,OUI,2
5618,2,OUI,6
5619,6,NON,-1
5620,5,NON,-1
5621,3,NON,-1
5622,0,NON,-1
5623,4,OUI,1
5624,2,NON,-1
5625,8,OUI,3
5626,7,NON,-1
5627,0,NON,-1
5628,8,NON,-1
5629,6,NON,-1
5630,1,OUI,5
5631,4,NON,-1
5632,6,NON,-1
5633,8,NON,-1
5634,6,NON,-1
5635,1,OUI,1
5636,4,NON,-1
5637,3,NON,-1
5638,2,OUI,18
5639,4,OUI,25
5640,3,NON,-1
5641,0,NON,-1
5642,3,OUI,0
5643,1,OUI,1
5644,1,NON,-1
5645,9,NON,-1
5646,0,NON,-1
5647,2,OUI,4
5648,1,NON,-1
5649,3,OUI,0
5650,7,OUI,0
5651,7,OUI,0
5652,7,OUI,21
5653,5,NON,-1
5654,6,NON,-1
5655,1,NON,-1
5656,2,NON,-1
5657,7,OUI,0
5658,9,NON,-1
5659,2,NON,-1
5660,3,NON,-1
5661,8,NON,-1
5662,0,OUI,14
5663,7,OUI,0
5664,9,NON,-1
5665,0,OUI,4
5666,5,OUI,41
5667,1,OUI,6
5668,5,OUI,7
5669,9,OUI,3
5670,8,NON,-1
5671,6,NON,-1
5672,9,NON,-1
5673,4,OUI,14
5674,0,OUI,3
5675,1,OUI,1
5676,7,OUI,1
5677,2,OUI,6
5678,5,OUI,0
5679,3,NON,-1
5680,8,OUI,1
5681,1,NON,-1
5682,6,NON,-1
5683,3,OUI,0
5684,6,NON,-1
5685,5,OUI,1
5686,6,NON,-1
5687,3,OUI,0
5688,5,NON,-1
5689,4,OUI,15
5690,0,OUI,2
5691,1,OUI,1
5692,0,OUI,3
5693,6,NON,-1
5694,0,OUI,3
5695,8,OUI,1
5696,8,OUI,1
5697,0,OUI,1
5698,0,OUI,4
5699,8,OUI,4
5700,2,NON,-1
5701,9,NON,-1
5702,3,NON,-1
5703,4,OUI,1
5704,9,OUI,12
5705,9,NON,-1
5706,2,OUI,3
5707,2,OUI,23
5708,1,OUI,4
5709,6,NON,-1
5710,3,OUI,0
5711,0,OUI,1
5712,5,NON,-1
5713,1,OUI,2
5714,1,OUI,8
5715,2,NON,-1
5716,7,OUI,0
5717,3,OUI,0
5718,9,NON,-1
5719,5,NON,-1
5720,4,OUI,0
5721,6,OUI,3
5722,2,NON,-1
5723,7,NON,-1
5724,2,OUI,0
5725,8,NON,-1
5726,9,NON,-1
5727,9,OUI,0
5728,3,NON,-1
5729,0,OUI,20
5730,0,NON,-1
5731,1,NON,-1
5732,1,OUI,26
5733,2,NON,-1
5734,4,OUI,39
5735,4,OUI,12
5736,3,NON,-1
5737,5,NON,-1
5738,3,NON,-1
5739,6,NON,-1
5740,9,NON,-1
5741,7,OUI,0
5742,5,NON,-1
5743,8,NON,-1
5744,2,NON,-1
5745,9,OUI,0
5746,9,NON,-1
5747,0,OUI,4
5748,3,NON,-1
5749,1,OUI,4
5750,6,OUI,0
5751,2,NON,-1
5752,5,NON,-1
5753,3,NON,-1
5754,7,NON,-1
5755,4,NON,-1
5756,1,OUI,5
5757,5,NON,-1
5758,2,NON,-1
5759,6,NON,-1
5760,1,OUI,10
5761,7,OUI,0
5762,2,NON,-1
5763,8,NON,-1
5764,4,OUI,1
5765,9,OUI,0
5766,6,NON,-1
5767,0,NON,-1
5768,7,NON,-1
5769,7,OUI,0
5770,3,NON,-1
5771,5,NON,-1
5772,6,NON,-1
5773,0,OUI,7
5774,6,NON,-1
5775,8,NON,-1
5776,5,NON,-1
5777,4,OUI,25
5778,7,OUI,0
5779,1,OUI,2
5780,6,OUI,2
5781,8,OUI,1
5782,6,NON,-1
5783,8,NON,-1
5784,7,OUI,0
5785,1,NON,-1
5786,7,OUI,0
5787,3,OUI,0
5788,3,NON,-1
5789,1,OUI,6
5790,2,NON,-1
5791,8,NON,-1
5792,4,NON,-1
5793,3,NON,-1
5794,9,NON,-1
5795,7,OUI,0
5796,4,NON,-1
5797,9,OUI,6
5798,3,OUI,21
5799,3,NON,-1
5800,8,NON,-1
5801,0,OUI,0
5802,6,NON,-1
5803,9,OUI,2
5804,6,NON,-1
5805,4,OUI,19
5806,9,OUI,5
5807,4,NON,-1
5808,0,OUI,4
5809,0,NON,-1
5810,6,NON,-1
5811,7,OUI,0
5812,3,OUI,0
5813,4,NON,-1
5814,1,OUI,7
5815,2,OUI,13
5816,2,OUI,14
5817,9,OUI,0
5818,7,NON,-1
5819,8,NON,-1
5820,3,OUI,0
5821,7,NON,-1
5822,4,NON,-1
5823,2,OUI,3
5824,1,NON,-1
5825,7,OUI,0
5826,6,NON,-1
5827,8,NON,-1
5828,5,OUI,2
5829,9,NON,-1
5830,0,OUI,1
5831,3,OUI,0
5832,6,NON,-1
5833,1,NON,-1
5834,1,NON,-1
5835,4,OUI,0
5836,9,NON,-1
5837,6,NON,-1
5838,3,OUI,21
5839,5,NON,-1
5840,1,NON,-1
5841,2,NON,-1
5842,1,NON,-1
5843,2,NON,-1
5844,0,OUI,1
5845,2,NON,-1
5846,6,OUI,0
5847,5,NON,-1
5848,6,OUI,0
5849,6,OUI,0
5850,1,OUI,7
5851,7,NON,-1
5852,3,OUI,0
5853,8,OUI,3
5854,4,NON,-1
5855,7,OUI,0
5856,5,NON,-1
5857,5,OUI,9
5858,3,OUI,32
5859,1,NON,-1
5860,9,OUI,17
5861,6,NON,-1
5862,1,OUI,5
5863,4,NON,-1
5864,1,NON,-1
5865,9,OUI,0
5866,5,NON,-1
5867,2,NON,-1
5868,9,NON,-1
5869,9,NON,-1
5870,3,NON,-1
5871,3,OUI,0
5872,5,NON,-1
5873,5,NON,-1
5874,9,NON,-1
5875,3,OUI,0
5876,1,OUI,2
5877,6,NON,-1
5878,9,NON,-1
5879,6,NON,-1
5880,4,NON,-1
5881,0,NON,-1
5882,1,NON,-1
5883,0,OUI,9
5884,0,OUI,0
5885,2,OUI,28
5886,0,NON,-1
5887,5,NON,-1
5888,0,NON,-1
5889,6,NON,-1
5890,2,OUI,21
5891,4,OUI,3
5892,9,OUI,2
5893,9,OUI,0
5894,8,OUI,6
5895,2,NON,-1
5896,8,NON,-1
5897,7,NON,-1
5898,9,NON,-1
5899,4,OUI,22
5900,2,OUI,14
5901,9,OUI,3
5902,2,OUI,7
5903,1,NON,-1
5904,5,NON,-1
5905,0,NON,-1
5906,7,OUI,0
5907,2,OUI,2
5908,2,OUI,11
5909,2,NON,-1
5910,6,NON,-1
5911,3,OUI,0
5912,7,NON,-1
5913,6,NON,-1
5914,2,OUI,0
5915,1,NON,-1
5916,8,OUI,3
5917,8,NON,-1
5918,9,NON,-1
5919,3,NON,-1
5920,6,NON,-1
5921,0,NON,-1
5922,3,OUI,1
5923,3,NON,-1
5924,9,NON,-1
5925,5,NON,-1
5926,3,OUI,34
5927,0,NON,-1
5928,2,NON,-1
5929,0,NON,-1
5930,1,NON,-1
5931,6,NON,-1
5932,0,OUI,9
5933,1,NON,-1
5934,5,NON,-1
5935,6,NON,-1
5936,4,OUI,1
5937,9,OUI,0
5938,0,OUI,0
5939,5,NON,-1
5940,9,NON,-1
5941,3,NON,-1
5942,3,OUI,1
5943,9,OUI,0
5944,4,OUI,0
5945,4,NON,-1
5946,7,OUI,0
5947,5,NON,-1
5948,6,NON,-1
5949,8,NON,-1
5950,1,OUI,7
5951,6,NON,-1
5952,2,OUI,32
5953,7,OUI,1
5954,4,OUI,0
5955,1,NON,-1
5956,6,NON,-1
5957,1,OUI,12
5958,3,OUI,7
5959,7,OUI,0
5960,4,NON,-1
5961,0,NON,-1
5962,6,OUI,0
5963,1,OUI,3
5964,9,NON,-1
5965,2,NON,-1
5966,1,OUI,11
5967,3,OUI,11
5968,7,NON,-1
5969,4,OUI,20
5970,3,NON,-1
5971,5,NON,-1
5972,8,NON,-1
5973,6,OUI,0
5974,3,NON,-1
5975,7,OUI,0
5976,7,OUI,0
5977,8,OUI,3
5978,0,NON,-1
5979,9,NON,-1
5980,3,OUI,35
5981,0,NON,-1
5982,4,OUI,0
5983,1,OUI,6
5984,5,NON,-1
5985,2,NON,-1
5986,7,NON,-1
5987,3,OUI,0
5988,2,OUI,2
5989,4,OUI,21
5990,6,NON,-1
5991,5,NON,-1
5992,9,NON,-1
5993,6,NON,-1
5994,1,OUI,1
5995,7,OUI,0
5996,6,OUI,3
5997,8,NON,-1
5998,6,OUI,3
5999,9,OUI,0
6000,6,NON,-1
6001,0,NON,-1
6002,1,OUI,19
6003,1,OUI,0
6004,5,OUI,34
6005,2,OUI,0
6006,8,OUI,1
6007,3,OUI,1
6008,0,OUI,3
6009,4,OUI,0
6010,9,OUI,17
6011,5,OUI,0
6012,2,NON,-1
6013,6,OUI,0
6014,7,NON,-1
6015,7,NON,-1
6016,3,OUI,0
6017,8,NON,-1
6018,5,NON,-1
6019,9,NON,-1
6020,1,OUI,1
6021,1,OUI,25
6022,8,NON,-1
6023,0,NON,-1
6024,6,NON,-1
6025,4,NON,-1
6026,5,OUI,3
6027,5,OUI,22
6028,4,OUI,0
6029,6,NON,-1
6030,8,OUI,2
6031,6,NON,-1
6032,3,NON,-1
6033,3,OUI,35
6034,0,NON,-1
6035,4,OUI,1
6036,9,NON,-1
6037,4,OUI,0
6038,2,OUI,10
6039,2,NON,-1
6040,3,OUI,0
6041,8,NON,-1
6042,9,NON,-1
6043,1,OUI,23
6044,2,OUI,15
6045,0,NON,-1
6046,7,NON,-1
6047,6,NON,-1
6048,3,NON,-1
6049,4,NON,-1
6050,7,NON,-1
6051,9,NON,-1
6052,1,NON,-1
6053,7,OUI,0
6054,7,OUI,0
6055,2,OUI,2
6056,2,OUI,0
6057,3,OUI,1
6058,4,OUI,0
6059,3,OUI,19
6060,2,OUI,4
6061,9,OUI,2
6062,1,OUI,4
6063,2,OUI,4
6064,7,NON,-1
6065,0,NON,-1
6066,8,NON,-1
6067,9,NON,-1
6068,5,OUI,3
6069,3,OUI,26
6070,1,NON,-1
6071,3,OUI,1
6072,8,NON,-1
6073,9,OUI,3
6074,9,NON,-1
6075,1,OUI,5
6076,0,NON,-1
6077,5,OUI,18
6078,9,OUI,2
6079,2,NON,-1
6080,2,NON,-1
6081,3,NON,-1
6082,1,NON,-1
6083,1,OUI,15
6084,9,NON,-1
6085,6,NON,-1
6086,5,OUI,16
6087,7,NON,-1
6088,7,NON,-1
6089,3,NON,-1
6090,6,NON,-1
6091,7,OUI,0
6092,9,NON,-1
6093,8,NON,-1
6094,0,NON,-1
6095,4,OUI,7
6096,5,NON,-1
6097,0,NON,-1
6098,3,OUI,0
6099,2,NON,-1
6100,9,OUI,0
6101,4,OUI,12
6102,6,NON,-1
6103,0,NON,-1
6104,1,NON,-1
6105,2,OUI,6
6106,3,OUI,2
6107,4,OUI,0
6108,1,OUI,5
6109,7,NON,-1
6110,1,OUI,2
6111,8,OUI,4
6112,5,NON,-1
6113,0,NON,-1
6114,2,OUI,12
6115,7,NON,-1
6116,1,OUI,3
6117,0,NON,-1
6118,3,NON,-1
6119,6,NON,-1
6120,4,NON,-1
6121,9,OUI,2
6122,1,OUI,6
6123,3,OUI,0
6124,2,OUI,4
6125,2,NON,-1
6126,2,OUI,6
6127,4,OUI,1
6128,4,OUI,22
6129,8,NON,-1
6130,7,NON,-1
6131,6,NON,-1
6132,7,NON,-1
6133,0,NON,-1
6134,7,NON,-1
6135,1,OUI,16
6136,8,NON,-1
6137,0,NON,-1
6138,2,NON,-1
6139,6,OUI,0
6140,7,OUI,2
6141,7,OUI,12
6142,1,OUI,23
6143,2,OUI,6
6144,2,OUI,4
6145,9,OUI,0
6146,0,OUI,1
6147,7,OUI,0
6148,3,OUI,0
6149,9,OUI,0
6150,6,NON,-1
6151,5,NON,-1
6152,8,NON,-1
6153,8,OUI,0
6154,4,OUI,0
6155,9,OUI,1
6156,9,NON,-1
6157,6,NON,-1
6158,8,NON,-1
6159,6,OUI,0
6160,4,NON,-1
6161,2,NON,-1
6162,9,NON,-1
6163,8,OUI,0
6164,9,NON,-1
6165,1,OUI,2
6166,9,NON,-1
6167,7,OUI,0
6168,2,NON,-1
6169,5,NON,-1
6170,3,NON,-1
6171,5,NON,-1
6172,2,OUI,2
6173,7,OUI,0
6174,9,NON,-1
6175,3,NON,-1
6176,7,OUI,0
6177,5,OUI,2
6178,6,OUI,0
6179,0,NON,-1
6180,5,NON,-1
6181,1,NON,-1
6182,3,OUI,22
6183,1,OUI,1
6184,4,OUI,0
6185,3,NON,-1
6186,1,OUI,4
6187,8,OUI,2
6188,5,NON,-1
6189,4,OUI,22
6190,2,OUI,5
6191,9,OUI,0
6192,1,NON,-1
6193,4,OUI,17
6194,6,NON,-1
6195,5,NON,-1
6196,8,NON,-1
6197,1,OUI,18
6198,5,OUI,3
6199,8,NON,-1
6200,5,NON,-1
6201,6,NON,-1
6202,7,NON,-1
6203,8,NON,-1
6204,2,OUI,1
6205,9,NON,-1
6206,1,OUI,5
6207,0,OUI,0
6208,1,OUI,2
6209,1,OUI,1
6210,4,NON,-1
6211,2,NON,-1
6212,2,OUI,1
6213,3,NON,-1
6214,8,NON,-1
6215,4,OUI,40
